address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
100 CADILLAC DR,3,3C        ,878,10851(A)VC TAKE VEH W/O OWNER,2404,38.57227839,-121.4192296
I ST / 17TH ST,3,3M        ,736,459 PC  BURGLARY VEHICLE,2299,38.57884334,-121.4834127
3611 35TH ST,6,6A        ,1041,HARASSMENT - I RPT,7000,38.54176204,-121.4688287
HWY 99 NB / MACK RD,5,5C        ,1607,TOWED/STORED VEHICLE,7000,38.47428454,-121.4227089
VALLEY HI DR / DENSLOW WAY,5,5C        ,1623,MISCELLANEOUS I RPT (ZMISC),7000,38.46475681,-121.4289328
DELAGUA WAY / NEWCASTLE ST,2,2A        ,232,TOWED/STORED VEHICLE,7000,38.64330227,-121.4618676
1324 NORTH AVE,2,2A        ,505,243(B) BATTERY DR/NURSE/EMERG,1313,38.63993888,-121.435967
VALLEY HI DR / BAMFORD DR,5,5C        ,1624,TRAFFIC-ACCIDENT INJURY,5400,38.4706931,-121.4271773
3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,38.63862878,-121.3815598
3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,38.63862878,-121.3815598
ALHAMBRA BLVD / BROADWAY,6,6A        ,1001,211 PC  ROBBERY UNSPECIFIED,1299,38.55612335,-121.4724356
CORAL GABLES CT / MEADOWVIEW RD,5,5A        ,1396,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.48146892,-121.475345
K ST / 30TH ST,3,3C        ,841,TRAFFIC-ACCIDENT INJURY,5400,38.57203045,-121.4670118
5501 EMERSON RD,6,6C        ,1152,NON INJ HR/MAIL OUT REPORT,7000,38.52597099,-121.419844
SAN JUAN RD / TRUXEL RD,1,1B        ,404,242 PC  BATTERY CIVILIAN,1313,38.62741952,-121.4978994
2515 F ST,3,3B        ,728,459 PC  BURGLARY VEHICLE,2299,38.57943348,-121.4705946
1309 GRAND AVE,2,2A        ,505,484 PC   THEFT-LIC PLATE TABS,2399,38.63678539,-121.4368602
1690 ARDEN WAY,2,2C        ,628,459 PC  BURGLARY VEHICLE,2299,38.59808509,-121.4275537
837 54TH ST,3,3C        ,835,459 PC  BURGLARY VEHICLE,2299,38.56722246,-121.4357584
MACK RD / VALLEY HI DR,5,5C        ,1606,TOWED/STORED VEH-14602.6,7000,38.47421612,-121.42717
2217 BABETTE WAY,5,5A        ,1503,10851(A)VC TAKE VEH W/O OWNER,2404,38.48045537,-121.4856682
3555 AUBURN BLVD,2,2A        ,509,594(B)(2)(A) VANDALISM/ -$400,2999,38.63862878,-121.3815598
STOCKTON BLVD / MASSIE CT,5,5C        ,1607,1203.2 PC VIOLATION OF PROBATI,5012,38.47581524,-121.4196575
5022 58TH ST,6,6B        ,1086,594(B)(2)(A)VANDALISM GRAF-400,2999,38.52875394,-121.4401734
J ST / 12TH ST,3,3M        ,735,459 PC  BURGLARY VEHICLE,2299,38.57960099,-121.4907988
AZUSA ST / MORELL ST,1,1C        ,447,20002(A) HIT/RUN,5401,38.60911743,-121.4840542
2781 NORTHGATE BLVD,1,1C        ,438,11364 HS POSS DRUG PARAPH,3599,38.61489271,-121.4768376
12TH AVE / 40TH ST,6,6A        ,1042,SUSP PERS-NO CRIME - I RPT,7000,38.54118933,-121.4607739
6391 WEATHERFORD WAY,5,5C        ,1635,10851(A)VC TAKE VEH W/O OWNER,2404,38.4643369,-121.4284227
5500 MACK RD,5,5C        ,1623,10851(A)VC TAKE VEH W/O OWNER,2404,38.47345298,-121.4355908
3206 8TH AVE,6,6A        ,1031,FOUND PROPERTY - I RPT,7000,38.54464324,-121.4731883
3554 SUMMER PARK DR,1,1B        ,401,459 PC  BURGLARY VEHICLE,2299,38.63167132,-121.5026094
7830 JACINTO RD,5,5C        ,1654,484 PC PETTY THEFT,2399,38.4467991,-121.4110382
5836 FANCY WAY,1,1A        ,106,594(B)(2)(A) VANDALISM/ -$400,2999,38.68164024,-121.4990726
239 AINGER CIR,1,1A        ,136,530.5 PC USE PERSONAL ID INFO,2604,38.66670198,-121.50537
702 NORTHFIELD DR,1,1C        ,447,594(B)(2)(A) VANDALISM/ -$400,2999,38.60907503,-121.4801
15TH ST / R ST,3,3A        ,765,BATTERY - I RPT,7000,38.56963689,-121.4903803
7736 TELFER WAY,5,5C        ,1605,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.47696574,-121.4357342
1258 PEBBLEWOOD DR,1,1C        ,426,247(B) PC SHOOT UNOCC BLDG/VEH,5213,38.62262156,-121.4901695
1500 K ST,3,3M        ,745,ABC LICENSE VIO/INFO - I RPT,7000,38.57696108,-121.4868264
3000 J ST,3,3C        ,841,211 PC ROBBERY-PURSE SNATCH,1210,38.57271087,-121.4662897
H ST / 15TH ST,3,3A        ,725,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.58064891,-121.4855965
1543 52ND ST,3,3C        ,855,HARASSMENT - I RPT,7000,38.55941392,-121.4427516
3945 DEER RUN WAY,5,5B        ,1616,JUVENILE DISURBANCE - I RPT,7000,38.47324689,-121.4614649
2661 RIVER PLAZA DR,1,1B        ,440,459 PC  BURGLARY VEHICLE,2299,38.60872513,-121.5232247
1831 T ST,3,3A        ,776,459 PC  BURGLARY VEHICLE,2299,38.56631737,-121.4861055
228 WAUNITA WAY,2,2A        ,232,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.64605845,-121.4622984
JESSIE AVE / NORWOOD AVE,2,2A        ,233,ASSAULT WITH WEAPON - I RPT,7000,38.64404243,-121.4568936
2800 K ST,3,3B        ,748,487(A) PC GRAND THEFT,2303,38.57201606,-121.4692575
2730 J ST,3,3B        ,748,243(D) PC BATT/CIVILIAN W/INJ,1315,38.57395494,-121.4699112
3211 RIVERSIDE BLVD,4,4A        ,934,459 PC  BURGLARY BUSINESS,2203,38.54979527,-121.5056977
3560 4TH AVE,6,6A        ,1022,10851(A)VC TAKE VEH W/O OWNER,2404,38.55008879,-121.467861
1320 DEL PASO BLVD,2,2C        ,612,243(D) PC BATT/CIVILIAN W/INJ,1315,38.60456659,-121.4615545
JEFFREY AVE / LEW WAY,4,4B        ,958,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.53435928,-121.4816091
14 BUSINESS PARK WAY,6,6C        ,1407,245(A)(2) AWDW/FIREARM/CIVILIA,1315,38.52491379,-121.3967577
4495 STOCKTON BLVD,6,6B        ,1064,242 PC  BATTERY CIVILIAN,1313,38.53445955,-121.4469248
415 12TH ST,3,3A        ,715,CASUALTY REPORT,7000,38.5857662,-121.4878161
33RD ST / H ST,3,3C        ,821,20002(A) HIT/RUN,5401,38.57433757,-121.4617826
1940 MONARCH AVE,5,5A        ,1502,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,38.47857071,-121.4941668
N ST / 3RD ST,3,3A        ,752,459 PC  BURGLARY VEHICLE,2299,38.57833762,-121.5046674
7457 RUSH RIVER DR,4,4C        ,1285,594(B)(2)(A) VANDALISM/ -$400,2999,38.48718561,-121.5349291
16TH ST / C ST,3,3A        ,716,11377(A)HS POSS AMPHETAMINES,3572,38.5857673,-121.4818932
6730 4TH AVE,6,6C        ,1111,647(F) PC DIP - DISORDERLY,5311,38.54783739,-121.4243203
415 12TH ST,3,3A        ,715,245(A)(2) AWDW/FIREARM/CIVILIA,1315,38.5857662,-121.4878161
4340 JEFFREY AVE,4,4B        ,958,20002(A) HIT/RUN,5401,38.53554642,-121.4811949
2500 35TH ST,6,6A        ,1013,9.40.020(A) JUVENILE CURFEW,7399,38.55451604,-121.4674364
7658 NIXOS WAY,5,5B        ,1612,459 PC  BURGLARY RESIDENCE,2204,38.47925635,-121.4635225
3296 MARYSVILLE BLVD,2,2B        ,526,10851(A)VC TAKE VEH W/O OWNER,2404,38.62852162,-121.4315485
6515 BENHAM WAY,4,4C        ,1252,594(B)(2)(A) VANDALISM/ -$400,2999,38.50798335,-121.5537592
15 SEINE CT,3,3C        ,899,314.1 PC   INDECENT EXPOSURE,3605,38.55809165,-121.3917421
838 RANCHO ROBLE WAY,1,1C        ,405,10851(A)VC TAKE VEH W/O OWNER,2404,38.63020065,-121.4828059
FRUITRIDGE RD / 53RD ST,6,6B        ,1084,245(A)(2) AWDW/FIREARM/CIVILIA,1315,38.52496323,-121.4438874
3RD ST / N ST,3,3A        ,752,459 PC  BURGLARY VEHICLE,2299,38.57833762,-121.5046674
7946 POCKET RD,4,4C        ,1295,10851(A)VC TAKE VEH W/O OWNER,2404,38.47670073,-121.5333381
5TH ST / BROADWAY,4,4A        ,909,5150 WI DANGER SELF/OTHERS,7000,38.56559378,-121.5072531
1112 I ST,3,3M        ,734,12.52.030 SCC UNLAWFUL CAMPING,7399,38.58057479,-121.4911942
2257 ANTON WAY,1,1A        ,115,5150 WI DANGER SELF/OTHERS,7000,38.66833855,-121.5098944
3977 3RD AVE,6,6A        ,1014,11377(A)HS POSS AMPHETAMINES,3572,38.55003619,-121.4612421
1112 I STREET,3,3M        ,734,3056 PC PAROLE VIOLATION,5011,38.58057479,-121.4911942
902 DEL PASO BLVD,2,2C        ,612,CASUALTY REPORT,7000,38.60046764,-121.4652701
2750 SUTTERVILLE RD,4,4B        ,958,BURGLARY - I RPT,7000,38.53881527,-121.479014
3150 NORDYKE DR,1,1C        ,418,5150 WI DANGER SELF/OTHERS,7000,38.62296014,-121.4768064
32ND ST / 8TH AVE,6,6A        ,1031,11364 HS POSS DRUG PARAPH,3599,38.54484473,-121.4734141
26 MASSIE CT,5,5C        ,1607,459 PC  BURGLARY VEHICLE,2299,38.47529548,-121.422795
W EL CAMINO AVE / AZEVEDO DR,1,1B        ,434,TOWED/STORED VEHICLE,7000,38.61284481,-121.5050821
3611 TRUXEL RD,1,1A        ,337,10851(A)VC TAKE VEH W/O OWNER,2404,38.63276571,-121.5061726
5081 MCGLASHAN ST,6,6B        ,1084,459 PC  BURGLARY RESIDENCE,2204,38.52951178,-121.449896
15TH ST / MATHEWS WAY,5,5A        ,1371,GANG ACTIVITY - I RPT,7000,38.48998089,-121.5019436
4401 BROADWAY,6,6A        ,1015,484 PC PETTY THEFT,2399,38.54726509,-121.4552803
8101 COSUMNES RIVER BLVD,5,5C        ,1639,484 PETTY THEFT-SHOPLIFT,2303,38.45718227,-121.4133413
2319 33RD ST,6,6A        ,1001,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.55699686,-121.4689006
717 23RD ST,3,3B        ,727,MISSING PERSON,7000,38.57820727,-121.4744796
3324 2ND AVE,6,6A        ,1011,LOST PROPERTY - I RPT,7000,38.55292779,-121.4701898
200 RICHARDS BLVD,3,3A        ,704,TRAFFIC-ACCIDENT INJURY,5400,38.59674646,-121.5021287
8517 DERLIN WAY,5,5C        ,1653,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.44792733,-121.4256977
25TH AVE / 62ND ST,6,6B        ,1088,TRAFFIC-ACCIDENT INJURY,5400,38.52881453,-121.4328808
2355 STOCKTON BLVD,6,6B        ,1005,594(B)(2)(A) VANDALISM/ -$400,2999,38.55374444,-121.4568045
3711 RIO LINDA BLVD,2,2A        ,513,CASUALTY REPORT,7000,38.63537838,-121.4468944
POINT WEST WAY / ARDEN WAY,2,2C        ,618,459 PC  BURGLARY VEHICLE,2299,38.60134596,-121.4306279
3309 BOZEMAN ST,2,2B        ,531,594(B)(2)(A) VANDALISM/ -$400,2999,38.62741249,-121.4585395
621 24TH ST,3,3B        ,728,496(A) RECEIVE STOLEN PROPERTY,2803,38.57881951,-121.4726456
W ST / RIVERSIDE BLVD,3,3A        ,784,TRAFFIC-ACCIDENT INJURY,5400,38.56567077,-121.4983269
STOCKTON BLVD / MACK RD,5,5C        ,1607,484G(B) PC ACCESS CARD FRAUD,2605,38.47433721,-121.4189709
15 CARTHAGE CT,6,6C        ,1443,MISSING PERSON,7000,38.50576856,-121.4181141
BROADWAY / 21ST ST,4,4A        ,907,TRAFFIC-ACCIDENT-NON INJURY,5400,38.55982692,-121.4857011
ARDEN WAY / CHALLENGE WAY,2,2C        ,620,459 PC  BURGLARY VEHICLE,2299,38.59851693,-121.4249294
8158 GRANDSTAFF DR,5,5C        ,1637,10851 VC AUTO THEFT LOCATE,2404,38.46148268,-121.4210137
5571 79TH ST,6,6C        ,1153,MISSING PERSON,7000,38.52524262,-121.4115515
7595 FRANKLIN BLVD,5,5B        ,1603,484G(B) PC ACCESS CARD FRAUD,2605,38.48211558,-121.4525422
11 ALCANON CT,1,1B        ,353,653M(A) PC OBSCENE/THREAT CALL,5309,38.62453557,-121.5264198
5320 SUMMERBROOK WAY,5,5B        ,1621,211 PC  ROBBERY UNSPECIFIED,1299,38.4725814,-121.4404459
1325 SENIDA WAY,1,1C        ,416,459 PC  BURGLARY RESIDENCE,2204,38.6250908,-121.491566
6145 STOCKTON BLVD,6,6B        ,1421,459 PC  BURGLARY BUSINESS,2203,38.51447225,-121.4367764
4900 WAREHOUSE WAY,6,6C        ,1147,VANDALISM - I RPT,7000,38.53125566,-121.3897055
RIVERSIDE BLVD / BROADWAY,4,4A        ,905,TRAFFIC-ACCIDENT-NON INJURY,5400,38.56321928,-121.4984736
4380 FALLOW DR,5,5B        ,1616,459 PC  BURGLARY RESIDENCE,2204,38.47333853,-121.4529099
RESEARCH DR / OPPORTUNITY ST,2,2A        ,510,10851(A)VC TAKE VEH W/O OWNER,2404,38.64016562,-121.4587507
RESEARCH DR / OPPORTUNITY ST,2,2A        ,510,10851(A)VC TAKE VEH W/O OWNER,2404,38.64016562,-121.4587507
1901 PEBBLEWOOD DR,1,1B        ,411,FOUND PROPERTY - I RPT,7000,38.62149931,-121.504924
3000 ACADEMY WAY,2,2B        ,556,TOWED/STORED VEHICLE,7000,38.62009248,-121.426719
HERMOSA ST / 45TH AVE,4,4B        ,1326,11378 HS POSS/SALE AMPHETAMINE,3571,38.51197714,-121.4803911
3876 SEA FOREST WAY,5,5B        ,1618,10851(A)VC TAKE VEH W/O OWNER,2404,38.46304879,-121.4597711
1420 O ST,3,3A        ,765,10851(A)VC TAKE VEH W/O OWNER,2404,38.57275295,-121.489627
4051 4TH AVE,6,6A        ,1015,CASUALTY REPORT,7000,38.54852526,-121.4599213
1633 68TH AVE,5,5A        ,1371,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,38.48920978,-121.4988814
2900 R ST,3,3B        ,778,484 PC   PETTY THEFT/INSIDE,2308,38.56452151,-121.4714677
3661 TRUXEL RD,1,1A        ,337,484 PC PETTY THEFT,2399,38.63589608,-121.5055312
4932 WALLACE AVE,2,2A        ,213,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.65788081,-121.451402
2104 11TH AVE,4,4A        ,936,211 PC  ROBBERY UNSPECIFIED,1299,38.54338237,-121.4908684
FRUITRIDGE RD / 53RD ST,6,6B        ,1084,11364 HS POSS DRUG PARAPH,3599,38.52496323,-121.4438874
2179 JOHN STILL DR,5,5A        ,1502,14601.1(A) VC LIC SUSP OTHER,5499,38.47695497,-121.4882958
1500 ARDEN WAY,2,2C        ,626,10851(A)VC TAKE VEH W/O OWNER,2404,38.60058081,-121.4308265
5666 DELCLIFF CIR,4,4C        ,1225,484 PC PETTY THEFT,2399,38.52347262,-121.5147548
3645 FULTON AVE,2,2A        ,507,459 PC  BURGLARY VEHICLE,2299,38.63438017,-121.4018388
1901 ARDEN WAY,2,2C        ,620,484 PC PETTY THEFT,2399,38.59800846,-121.4237298
15TH ST / F ST,3,3A        ,725,211 PC  ROBBERY UNSPECIFIED,1299,38.58283595,-121.4846466
BRUCEVILLE RD / COSUMNES RIVER BLVD,5,5C        ,1639,484 PC   PETTY THEFT/INSIDE,2308,38.45768744,-121.4176675
2100 HARVARD ST,2,2C        ,605,459 PC  BURGLARY-UNSPECIFIED,2299,38.60534892,-121.4372414
8900 KLOTZ RANCH CT,4,4C        ,1298,TOWED/STORED VEHICLE,7000,38.48123472,-121.5076289
JOHN STILL DR / 22ND ST,5,5A        ,1503,TRAFFIC-ACCIDENT-NON INJURY,5400,38.47706899,-121.4867615
16TH ST / J ST,3,3M        ,736,10851(A)VC TAKE VEH W/O OWNER,2404,38.57810996,-121.4852125
182 WILSHIRE AVE,5,5B        ,1369,242 PC  BATTERY CIVILIAN,1313,38.48999286,-121.4652727
7700 33RD AVE,6,6C        ,1405,246.3 PC NEGL DISCH FIREARM,5213,38.52291342,-121.4141329
3554 SANTA CRUZ WAY,6,6A        ,1042,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.54236923,-121.4600028
3625 TAYLOR ST,2,2A        ,512,594(B)(1)PC  VANDALISM +$400,2999,38.63298758,-121.4528714
161 BELL AVE,2,2A        ,222,11364 HS POSS DRUG PARAPH,3599,38.64799426,-121.4652496
14 CLOVE CT,5,5C        ,1634,653M(B) PC ANNOY/RPT CALL HOME,5307,38.46046924,-121.438791
3633 MAY ST,2,2A        ,513,459 PC  BURGLARY RESIDENCE,2204,38.63429736,-121.4430659
2228 GATEWAY OAKS DR,1,1B        ,440,459 PC  BURGLARY VEHICLE,2299,38.60770663,-121.5160014
3354 ZALEMA WAY,1,1A        ,343,487(A) PC GRAND THEFT,2303,38.62757337,-121.5381824
4713 36TH ST,6,6A        ,1071,484 PC  PETTY THEFT/ OUTSIDE,2309,38.53207838,-121.4679114
2100 BROADWAY,4,4A        ,907,666 PC PETTY THEFT W/PRI CONV,2399,38.5594166,-121.4854383
ALHAMBRA BLVD / GRANADA WAY,3,3C        ,841,23153(A) VC DUI CAUSE INJURY,5404,38.57109736,-121.4659345
5869 61ST ST,6,6B        ,1402,THREATS - I RPT,7000,38.52005788,-121.4334782
5868 BRIDGECROSS DR,1,1A        ,106,459 PC  BURGLARY VEHICLE,2299,38.68221226,-121.4992718
1614 D ST,3,3B        ,716,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.58423851,-121.4820477
7658 AMBROSE WAY,4,4C        ,1294,CASUALTY REPORT,7000,38.47979453,-121.535854
1900 BROADWAY,4,4A        ,906,666 PC PETTY THEFT W/PRI CONV,2399,38.56020578,-121.4881604
BROOKFIELD DR / MEADOWVIEW RD,5,5B        ,1614,243.4(E)(1)TOUCH FOR SEX PLEAS,3699,38.48093723,-121.4630104
11 QUINTA CT,5,5C        ,1624,10851(A)VC TAKE VEH W/O OWNER,2404,38.47305088,-121.4198197
1401 3RD ST,3,3A        ,762,459 PC  BURGLARY VEHICLE,2299,38.57804836,-121.504449
FRANKLIN BLVD / CREEKS EDGE WAY,5,5B        ,1603,GANG ACTIVITY - I RPT,7000,38.48435676,-121.4538072
J ST / 7TH ST,3,3M        ,732,459 PC  BURGLARY VEHICLE,2299,38.58137649,-121.4974538
750 REGATTA DR,1,1C        ,428,487(A) GRAND THEFT-CLOUT-UNLOC,2305,38.62109421,-121.4789238
4050 TAYLOR ST,2,2A        ,233,CASUALTY REPORT,7000,38.64196888,-121.4509888
1091 G ST,3,3A        ,724,653M(A) PC OBSCENE/THREAT CALL,5309,38.58385621,-121.4911988
SAN JUAN RD / TRUXEL RD,1,1B        ,404,TRAFFIC-ACCIDENT INJURY,5400,38.62741952,-121.4978994
N MEADOWS PL / S MEADOWS PL,5,5A        ,1365,602(L)(1)TRESPASS REFUSE TO LV,5707,38.49382275,-121.4704919
5630 YVONNE WAY,5,5B        ,1631,5150 WI DANGER SELF/OTHERS,7000,38.46111086,-121.4374694
2178 JOHN STILL DR,5,5A        ,1512,10851(A)VC TAKE VEH W/O OWNER,2404,38.47647394,-121.488184
63 DECATHLON CIR,5,5B        ,1614,MISSING PERSON,7000,38.47682822,-121.4534037
1001 OLIVERA WAY,2,2B        ,564,594(B)(2)(A) VANDALISM/ -$400,2999,38.61495011,-121.4432065
FRUITRIDGE RD / FREEPORT BLVD,4,4B        ,976,20002(A) HIT/RUN,5401,38.52472122,-121.497206
6618 VILLA JUARES CIR,6,6C        ,1443,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.50941846,-121.4259126
232 OLMSTEAD DR,2,2B        ,531,20002(A) HIT/RUN,5401,38.62422669,-121.4613745
4261 ARMADALE WAY,5,5B        ,1616,10851(A)VC TAKE VEH W/O OWNER,2404,38.46946748,-121.4553915
1228 D ST,3,3A        ,715,10851(A)VC TAKE VEH W/O OWNER,2404,38.5856961,-121.4868685
838 RANCHO ROBLE WAY,1,1C        ,405,10851(A)VC TAKE VEH W/O OWNER,2404,38.63020065,-121.4828059
1081 GLENROSE AVE,2,2B        ,564,594(B)(1)PC  VANDALISM +$400,2999,38.61475001,-121.4421371
6730 4TH AVE,6,6C        ,1111,594(B)(1)PC  VANDALISM +$400,2999,38.54783739,-121.4243203
WEATHERFORD WAY / BRENTFORD CIR,5,5C        ,1635,11364 HS POSS DRUG PARAPH,3599,38.46354773,-121.4298714
2164 BRADBURN DR,1,1A        ,104,ACCIDENTAL FIRES/ARSON -I RPT,7000,38.67460145,-121.5097637
948 RIVERA DR,2,2B        ,523,MISSING PERSON,7000,38.62721053,-121.4443044
7825 DETROIT BLVD,5,5A        ,1506,10851(A)VC TAKE VEH W/O OWNER,2404,38.47334584,-121.4662216
819 POTOMAC AVE,1,1C        ,418,247(B) PC SHOOT UNOCC BLDG/VEH,5213,38.6226048,-121.4808309
BRUCEVILLE RD / VALLEY HI DR,5,5C        ,1624,10851(A)VC TAKE VEH W/O OWNER,2404,38.4706931,-121.4271773
STOCKTON BLVD / MASSIE CT,5,5C        ,1607,529 PC FALSE PERSONATION,2604,38.47581524,-121.4196575
11 QUINTA CT,5,5C        ,1624,10851(A)VC TAKE VEH W/O OWNER,2404,38.47305088,-121.4198197
7129 SNOWY BIRCH WAY,5,5C        ,1637,484 PC  PETTY THEFT/ OUTSIDE,2309,38.45899451,-121.4220431
7001 CARNATION AVE,4,4B        ,1356,594(B)(2)(A) VANDALISM/ -$400,2999,38.49930905,-121.4752908
10 NEDRA CT,5,5A        ,1394,10851(A)VC TAKE VEH W/O OWNER,2404,38.48242529,-121.4809938
2400 DONNER WAY,4,4A        ,928,NON INJ HR/MAIL OUT REPORT,7000,38.5478719,-121.4828012
MARYSVILLE BLVD / LOS ROBLES BLVD,2,2B        ,526,TOWED/STORED VEH-14602.6,7000,38.63008563,-121.4313085
1430 BREWERTON DR,1,1B        ,435,211 PC  ROBBERY UNSPECIFIED,1299,38.61526655,-121.4929801
320 COMMERCE CIR,2,2C        ,622,10851 VC AUTO THEFT LOCATE,2404,38.59937865,-121.4619611
4967 49TH ST,6,6B        ,1084,10851(A)VC TAKE VEH W/O OWNER,2404,38.53048786,-121.4484308
6641 VALLEY HI DR,5,5C        ,1623,10851(A)VC TAKE VEH W/O OWNER,2404,38.47199917,-121.4297516
139 FAIRBANKS AVE,2,2B        ,531,CASUALTY REPORT,7000,38.62621427,-121.4642334
549 MORRISON AVE,2,2A        ,502,TOWED/STORED VEH-14602.6,7000,38.63794231,-121.4536771
STOCKTON BLVD / FRUITRIDGE RD,6,6B        ,1086,TOWED/STORED VEH-14602.6,7000,38.52497346,-121.4425904
2648 33RD ST,6,6A        ,1012,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.55416451,-121.4704184
HOWE AVE / US 50 WB,3,3C        ,898,TOWED/STORED VEHICLE,7000,38.55380855,-121.4093507
WINTERHAVEN AVE / NORTHGATE BLVD,1,1C        ,419,TOWED/STORED VEH-14602.6,7000,38.62697168,-121.4755308
LEMON HILL AVE / 40TH AVE,6,6C        ,1404,4140 BP  POSS OF HYPO NEEDLE,3599,38.51613758,-121.4111198
BAMFORD DR / CENTER PKWY,5,5B        ,1623,TOWED/STORED VEH-14602.6,7000,38.47155475,-121.4354311
1236 BREWERTON DR,1,1B        ,435,215(A) PC    CARJACKING,1212,38.61569243,-121.4911606
2724 NORTHGLEN ST,1,1C        ,438,246 PC SHOOT OCCUP DWELL/VEH,5213,38.61471215,-121.4782039
H ST / ALHAMBRA BLVD,3,3C        ,821,23222(B)POSSESS MARIJ IN VEH,5499,38.57498057,-121.4642474
7715 COLLEGE TOWN DR,3,3C        ,888,459 PC  BURGLARY VEHICLE,2299,38.55576196,-121.4149612
16TH ST / X ST,4,4A        ,906,TRAFFIC-ACCIDENT-NON INJURY,5400,38.56268259,-121.4918953
6137 24TH ST,4,4B        ,1326,484J PC PUBLISH CARD INFO,2605,38.51391562,-121.482806
DIXIEANNE AVE / OAKMONT ST,2,2C        ,603,O/S AGENCY -ASSISTANCE- I RPT,7000,38.60931053,-121.4508063
7352 MEADOWGATE DR,5,5B        ,1369,484G(B) PC ACCESS CARD FRAUD,2605,38.49017812,-121.4631785
3510 HAPPY CIR,5,5B        ,1358,484J PC PUBLISH CARD INFO,2605,38.49754834,-121.466764
2109 V ST,3,3B        ,787,484 PC PETTY THEFT,2399,38.56318411,-121.4836065
4650 NATOMAS BLVD,1,1A        ,145,FRAUD OR BUNCO - I RPT,7000,38.65731154,-121.5119979
8667 SUNNYBRAE DR,5,5C        ,1653,484G(B) PC ACCESS CARD FRAUD,2605,38.44595945,-121.4331228
723 R ST,3,3A        ,763,487(A) GRAND THEFT-COIN MACHIN,2307,38.57243004,-121.5005845
621 S ST,3,3A        ,773,487(A) PC GRAND THEFT,2303,38.57170184,-121.5023734
5265 I ST,3,3C        ,835,459 PC  BURGLARY RESIDENCE,2204,38.56775515,-121.4385767
8201 POWER RIDGE RD,6,6C        ,1145,594(B)(2)(A) VANDALISM/ -$400,2999,38.53073649,-121.4038889
1040 RIO LN,4,4A        ,1203,487(A) GRAND THEFT-INSIDE,2308,38.53269738,-121.5196388
1423 19TH ST,3,3B        ,766,594(B)(2)(A)VANDALISM GRAF-400,2999,38.5717991,-121.4832083
8310 JACKSON RD,6,6C        ,1124,487(A) GRAND THEFT-AUTO PARTS,2304,38.54609328,-121.3993829
100 BICENTENNIAL CIR,3,3C        ,1102,530.5 PC USE PERSONAL ID INFO,2604,38.55213345,-121.4055845
I 5 NB / S LAND PARK DR,4,4C        ,1288,5150 WI DANGER SELF/OTHERS,7000,38.48889933,-121.5136342
7400 FLORES WAY,5,5A        ,1396,594(B)(2)(A) VANDALISM/ -$400,2999,38.48606988,-121.475678
4820 47TH ST,6,6B        ,1084,10851(A)VC TAKE VEH W/O OWNER,2404,38.53182855,-121.4526189
SAMOS WAY / MACK RD,5,5B        ,1614,211 PC  ROBBERY UNSPECIFIED,1299,38.47938006,-121.461782
7500 HOSPITAL DR,5,5C        ,1639,LOST PROPERTY - I RPT,7000,38.46337225,-121.4161718
5727 GILGUNN WAY,4,4C        ,985,VANDALISM - I RPT,7000,38.5225465,-121.5048587
955 43RD AVE,4,4C        ,1251,RECOVERED PROPERTY - I RPT,7000,38.51724271,-121.5241571
1224 ISABEL ST,3,3A        ,709,5150 WI DANGER SELF/OTHERS,7000,38.59367176,-121.4828749
PELL CIR / PELL DR,2,2A        ,221,TOWED/STORED VEHICLE,7000,38.64235952,-121.4700151
CENTER PKWY / VALLEY HI DR,5,5B        ,1623,11364 HS POSS DRUG PARAPH,3599,38.46377975,-121.4312631
STOCKTON BLVD / 11TH AVE,6,6A        ,1054,23153(A) VC DUI CAUSE INJURY,5404,38.54195686,-121.4511462
21ST AVE / 71ST ST,6,6C        ,1131,TOWED/STORED VEH-14602.6,7000,38.53236461,-121.4211484
2150 BELL AVE,2,2A        ,237,459 PC  BURGLARY BUSINESS,2203,38.64645661,-121.4168744
3519 3RD AVE,6,6A        ,1013,11364 HS POSS DRUG PARAPH,3599,38.55181875,-121.4678656
BAKER AVE / STOCKTON BLVD,6,          ,1064,11364 HS POSS DRUG PARAPH,3599,38.53266824,-121.4461521
4465 MONTRIL WAY,5,5B        ,1618,5150 WI DANGER SELF/OTHERS,7000,38.46985247,-121.4514452
SONOMA AVE / HIGH ST,2,2B        ,545,11357(B)HS POSS -28.5GR MARIJ,3562,38.6237933,-121.4349571
