"Number","Name","Generation","About","Types__001","Types__002","Resistant__001","Resistant__002","Resistant__003","Resistant__004","Resistant__005","Resistant__006","Resistant__007","Resistant__008","Resistant__009","Resistant__010","Resistant__011","Resistant__012","Weaknesses__001","Weaknesses__002","Weaknesses__003","Weaknesses__004","Weaknesses__005","Weaknesses__006","Weaknesses__007","Fast Attack(s)__Name","Fast Attack(s)__Type","Fast Attack(s)__Damage","Special Attack(s)__Name","Special Attack(s)__Type","Special Attack(s)__Damage","Weight__Minimum","Weight__Maximum","Height__Minimum","Height__Maximum","Buddy Distance","Base Stamina","Base Attack","Base Defense","Base Flee Rate","Pokèmon Class","MYTHIC","LEGENDARY","Common Capture Area","North America","Western Europe","Australia, New Zealand","Asia","Previous evolution(s)__Number","Previous evolution(s)__Name","Next Evolution Requirements__Amount","Next Evolution Requirements__Name","Next evolution(s)__Number","Next evolution(s)__Name","MaxCP","MaxHP"
"","","","","","","","","","","","","","","","","","","","","","","","","","Wing Attack","Flying","9","","","","","","","","","","","","","","","","","","","","","42","Golbat","","","","","",""
"170","Chinchou","Generation II","Chinchou lets loose positive and negative electrical charges from its two antennas to make its prey faint. This Pokémon flashes its electric lights to exchange signals with others.","Water","Electric","Fire","Water","Ice","Flying","Steel","","","","","","","","Grass","Ground","","","","","","Bubble","Water","25","Struggle","Normal","15","10.5kg","13.5kg","0.45m","0.57m","1km (Medium)","150 stamina points.","106 attack points.","106 defense points.","5% chance to flee.","","","","","","","","","","","","","171","Lanturn","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Spark","Electric","7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"171","Lanturn","Generation II","Lanturn is nicknamed “the deep-sea star for its illuminated antenna. This Pokémon produces light by causing a chemical reaction between bacteria and its bodily fluids inside the antenna.""","Water","Electric","Fire","Water","Ice","Flying","Steel","","","","","","","","Grass","Ground","","","","","","Spark","Electric","7","Struggle","Normal","15","19.69kg","25.31kg","1.04m","1.34m","1km (Medium)","250 stamina points.","146 attack points.","146 defense points.","5% chance to flee.","","","","","","","","","170","Chinchou","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Water Gun","Water","6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"172","Pichu","Generation II","Pichu charges itself with electricity more easily on days with thunderclouds or when the air is very dry. You can hear the crackling of static electricity coming off this Pokémon.","Electric","","Electric","Flying","Steel","","","","","","","","","","Ground","","","","","","","Quick Attack","Normal","10","Disarming Voice","Fairy","25","1.75kg","2.25kg","0.26m","0.34m","1km (Medium)","40 stamina points.","77 attack points.","63 defense points.","5% chance to flee.","","","","","","","","","","","25","Pikachu candies","25","Pikachu","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Thunder Shock","Electric","5","Thunder Punch","Electric","40","","","","","","","","","","","","","","","","","","","","","","26","Raichu","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thunderbolt","Electric","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"173","Cleffa","Generation II","On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew.","Fairy","","Fighting","Bug","Dragon","Dark","","","","","","","","","Poison","Steel","","","","","","Pound","Normal","7","Body Slam","Normal","40","2.63kg","3.38kg","0.26m","0.34m","1km (Medium)","100 stamina points.","75 attack points.","91 defense points.","5% chance to flee.","","","","","","","","","","","25","Clefairy candies","35","Clefairy","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Zen Headbutt","Psychic","12","Psychic","Psychic","55","","","","","","","","","","","","","","","","","","","","","","36","Clefable","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Signal Beam","Bug","45","","","","","","","","","","","","","","","","","","","","","","","","",""
"174","Igglybuff","Generation II","Igglybuff's vocal cords are not sufficiently developed. It would hurt its throat if it were to sing too much. This Pokémon gargles with freshwater from a clean stream.","Normal","Fairy","Bug","Ghost","Dragon","Dark","","","","","","","","","Poison","Steel","","","","","","Feint Attack","Dark","12","Body Slam","Normal","40","0.88kg","1.13kg","0.26m","0.34m","1km (Medium)","180 stamina points.","69 attack points.","34 defense points.","5% chance to flee.","","","","","","","","","","","25","Jigglypuff candies","39","Jigglypuff","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Pound","Normal","7","Psychic","Psychic","55","","","","","","","","","","","","","","","","","","","","","","40","Wigglytuff","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shadow Ball","Ghost","45","","","","","","","","","","","","","","","","","","","","","","","","",""
"175","Togepi","Generation II","As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others.","Fairy","","Fighting","Bug","Dragon","Dark","","","","","","","","","Poison","Steel","","","","","","Peck","Flying","10","Ancient Power","Rock","35","1.31kg","1.69kg","0.26m","0.34m","5km (Medium)","70 stamina points.","67 attack points.","116 defense points.","5% chance to flee.","","","","","","","","","","","50","Togepi candies","176","Togetic","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Zen Headbutt","Psychic","12","Dazzling Gleam","Fairy","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Psyshock","Psychic","40","","","","","","","","","","","","","","","","","","","","","","","","",""
"176","Togetic","Generation II","Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person.","Fairy","Flying","Grass","Fighting","Ground","Bug","Dragon","Dark","","","","","","","Electric","Ice","Poison","Rock","Steel","","","Steel Wing","Steel","15","Aerial Ace","Flying","30","2.8kg","3.6kg","0.53m","0.69m","5km (Medium)","110 stamina points.","139 attack points.","191 defense points.","5% chance to flee.","","","","","","","","","175","Togepi","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Zen Headbutt","Psychic","12","Ancient Power","Rock","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dazzling Gleam","Fairy","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"177","Natu","Generation II","Natu cannot fly because its wings are not yet fully grown. If your eyes meet with this Pokémon's eyes, it will stare back intently at you. But if you move even slightly, it will hop away to safety.","Psychic","Flying","Grass","Fighting","Ground","Psychic","","","","","","","","","Electric","Ice","Rock","Ghost","Dark","","","Peck","Flying","10","Struggle","Normal","15","1.75kg","2.25kg","0.18m","0.23m","1km (Medium)","80 stamina points.","134 attack points.","89 defense points.","5% chance to flee.","","","","","","","","","","","","","178","Xatu","",""
"178","Xatu","Generation II","Xatu stands rooted and still in one spot all day long. People believe that this Pokémon does so out of fear of the terrible things it has foreseen in the future.","Psychic","Flying","Grass","Fighting","Ground","Psychic","","","","","","","","","Electric","Ice","Rock","Ghost","Dark","","","Tackle","Normal","12","Struggle","Normal","15","13.13kg","16.88kg","1.31m","1.69m","1km (Medium)","130 stamina points.","192 attack points.","146 defense points.","5% chance to flee.","","","","","","","","","177","Natu","","","","","",""
"179","Mareep","Generation II","Mareep's fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows.","Electric","","Electric","Flying","Steel","","","","","","","","","","Ground","","","","","","","Tackle","Normal","12","Struggle","Normal","15","6.83kg","8.78kg","0.53m","0.69m","1km (Medium)","110 stamina points.","114 attack points.","82 defense points.","5% chance to flee.","","","","","","","","","","","","","180","Flaaffy","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","181","Ampharos","",""
"180","Flaaffy","Generation II","Flaaffy's wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.","Electric","","Electric","Flying","Steel","","","","","","","","","","Ground","","","","","","","Tackle","Normal","12","Struggle","Normal","15","11.64kg","14.96kg","0.69m","0.89m","1km (Medium)","140 stamina points.","145 attack points.","112 defense points.","5% chance to flee.","","","","","","","","","179","Mareep","","","181","Ampharos","",""
"181","Ampharos","Generation II","Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.","Electric","","Electric","Flying","Steel","","","","","","","","","","Ground","","","","","","","Tackle","Normal","12","Struggle","Normal","15","53.81kg","69.19kg","1.22m","1.57m","1km (Medium)","180 stamina points.","211 attack points.","172 defense points.","5% chance to flee.","","","","","","","","","179","Mareep","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180","Flaaffy","","","","","",""
"182","Bellossom","Generation II","When Bellossom gets exposed to plenty of sunlight, the leaves ringing its body begin to spin around. This Pokémon's dancing is renowned in the southern lands.","Grass","","Water","Electric","Grass","Ground","","","","","","","","","Fire","Ice","Poison","Flying","Bug","","","Tackle","Normal","12","Struggle","Normal","15","5.08kg","6.53kg","0.36m","0.46m","1km (Medium)","150 stamina points.","169 attack points.","189 defense points.","5% chance to flee.","","","","","","","","","43","Oddish","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","Gloom","","","","","",""
"183","Marill","Generation II","Marill's oil-filled tail acts much like a life preserver. If you see just its tail bobbing on the water's surface, it's a sure indication that this Pokémon is diving beneath the water to feed on aquatic plants.","Water","Fairy","Fire","Water","Ice","Fighting","Bug","Dragon","Dark","","","","","","Electric","Grass","Poison","","","","","Tackle","Normal","12","Struggle","Normal","15","7.44kg","9.56kg","0.36m","0.46m","1km (Medium)","140 stamina points.","37 attack points.","93 defense points.","5% chance to flee.","","","","","","","","","","","","","184","Azumarill","",""
"184","Azumarill","Generation II","Azumarill's long ears are indispensable sensors. By focusing its hearing, this Pokémon can identify what kinds of prey are around, even in rough and fast-running rivers.","Water","Fairy","Fire","Water","Ice","Fighting","Bug","Dragon","Dark","","","","","","Electric","Grass","Poison","","","","","Tackle","Normal","12","Struggle","Normal","15","24.94kg","32.06kg","0.69m","0.89m","1km (Medium)","200 stamina points.","112 attack points.","152 defense points.","5% chance to flee.","","","","","","","","","183","Marill","","","","","",""
"185","Sudowoodo","Generation II","Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter.","Rock","","Normal","Fire","Poison","Flying","","","","","","","","","Water","Grass","Fighting","Ground","Steel","","","Tackle","Normal","12","Struggle","Normal","15","33.25kg","42.75kg","1.04m","1.34m","1km (Medium)","140 stamina points.","167 attack points.","198 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"186","Politoed","Generation II","The curled hair on Politoed's head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this Pokémon earns from its peers.","Water","","Fire","Water","Ice","Steel","","","","","","","","","Electric","Grass","","","","","","Tackle","Normal","12","Struggle","Normal","15","29.66kg","38.14kg","9.54m","12.26m","1km (Medium)","180 stamina points.","174 attack points.","192 defense points.","5% chance to flee.","","","","","","","","","60","Poliwag","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","Poliwhirl","","","","","",""
"187","Hoppip","Generation II","This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.","Grass","Flying","Water","Grass","Fighting","Ground","","","","","","","","","Fire","Ice","Poison","Flying","Rock","","","Tackle","Normal","12","Struggle","Normal","15","0.44kg","0.56kg","0.36m","0.46m","1km (Medium)","70 stamina points.","67 attack points.","101 defense points.","5% chance to flee.","","","","","","","","","","","","","188","Skiploom","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189","Jumpluff","",""
"188","Skiploom","Generation II","Skiploom's flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.","Grass","Flying","Water","Grass","Fighting","Ground","","","","","","","","","Fire","Ice","Poison","Flying","Rock","","","Tackle","Normal","12","Struggle","Normal","15","0.88kg","1.13kg","0.53m","0.69m","1km (Medium)","110 stamina points.","91 attack points.","127 defense points.","5% chance to flee.","","","","","","","","","187","Hoppip","","","189","Jumpluff","",""
"189","Jumpluff","Generation II","Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.","Grass","Flying","Water","Grass","Fighting","Ground","","","","","","","","","Fire","Ice","Poison","Flying","Rock","","","Tackle","Normal","12","Struggle","Normal","15","2.63kg","3.38kg","0.69m","0.89m","1km (Medium)","150 stamina points.","118 attack points.","197 defense points.","5% chance to flee.","","","","","","","","","187","Hoppip","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188","Skiploom","","","","","",""
"190","Aipom","Generation II","Aipom's tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Tackle","Normal","12","Struggle","Normal","15","10.06kg","12.94kg","0.69m","0.89m","1km (Medium)","110 stamina points.","136 attack points.","112 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"191","Sunkern","Generation II","Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.","Grass","","Water","Electric","Grass","Ground","","","","","","","","","Fire","Ice","Poison","Flying","Bug","","","Tackle","Normal","12","Struggle","Normal","15","1.57kg","2.02kg","0.26m","0.34m","1km (Medium)","60 stamina points.","55 attack points.","55 defense points.","5% chance to flee.","","","","","","","","","","","","","192","Sunflora","",""
"192","Sunflora","Generation II","Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.","Grass","","Water","Electric","Grass","Ground","","","","","","","","","Fire","Ice","Poison","Flying","Bug","","","Tackle","Normal","12","Struggle","Normal","15","7.44kg","9.56kg","0.69m","0.89m","1km (Medium)","150 stamina points.","185 attack points.","148 defense points.","5% chance to flee.","","","","","","","","","191","Sunkern","","","","","",""
"193","Yanma","Generation II","Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.","Bug","Flying","Grass","Fighting","Ground","Bug","","","","","","","","","Fire","Electric","Ice","Flying","Rock","","","Tackle","Normal","12","Struggle","Normal","15","33.25kg","42.75kg","1.04m","1.34m","1km (Medium)","130 stamina points.","154 attack points.","94 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"194","Wooper","Generation II","Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film.","Water","Ground","Fire","Poison","Rock","Steel","","","","","","","","","Grass","","","","","","","Tackle","Normal","12","Struggle","Normal","15","7.44kg","9.56kg","0.36m","0.46m","1km (Medium)","110 stamina points.","75 attack points.","75 defense points.","5% chance to flee.","","","","","","","","","","","","","195","Quagsire","",""
"195","Quagsire","Generation II","Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry.","Water","Ground","Fire","Poison","Rock","Steel","","","","","","","","","Grass","","","","","","","Tackle","Normal","12","Struggle","Normal","15","65.63kg","84.38kg","1.22m","1.57m","1km (Medium)","190 stamina points.","152 attack points.","152 defense points.","5% chance to flee.","","","","","","","","","194","Wooper","","","","","",""
"196","Espeon","Generation II","Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.","Psychic","","Fighting","Psychic","","","","","","","","","","","Bug","Ghost","Dark","","","","","Confusion","Psychic","15","Struggle","Normal","15","23.19kg","29.81kg","0.78m","1m","5km (Medium)","130 stamina points.","261 attack points.","194 defense points.","5% chance to flee.","","","","","","","","","133","Eevee","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Zen Headbutt","Psychic","12","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"197","Umbreon","Generation II","Umbreon evolved as a result of exposure to the moon's waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.","Dark","","Psychic","Ghost","Dark","","","","","","","","","","Fighting","Bug","Fairy","","","","","Bite","Dark","6","Struggle","Normal","15","23.63kg","30.38kg","0.87m","1.11m","5km (Medium)","190 stamina points.","126 attack points.","250 defense points.","5% chance to flee.","","","","","","","","","133","Eevee","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","Feint Attack","Dark","12","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"198","Murkrow","Generation II","Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.","Dark","Flying","Grass","Ground","Psychic","Ghost","Dark","","","","","","","","Electric","Ice","Rock","Fairy","","","","Tackle","Normal","12","Struggle","Normal","15","1.84kg","2.36kg","0.45m","0.57m","1km (Medium)","120 stamina points.","175 attack points.","87 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"199","Slowking","Generation II","Slowking undertakes research every day in an effort to solve the mysteries of the world. However, this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off.","Water","Psychic","Fire","Water","Ice","Fighting","Psychic","Steel","","","","","","","Electric","Grass","Bug","Ghost","Dark","","","Tackle","Normal","12","Struggle","Normal","15","69.56kg","89.44kg","1.76m","2.26m","1km (Medium)","190 stamina points.","177 attack points.","194 defense points.","5% chance to flee.","","","","","","","","","79","Slowpoke","","","","","",""
"200","Misdreavus","Generation II","Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition.","Ghost","","Normal","Fighting","Poison","Bug","","","","","","","","","Ghost","Dark","","","","","","Tackle","Normal","12","Struggle","Normal","15","0.88kg","1.13kg","0.62m","0.8m","1km (Medium)","120 stamina points.","167 attack points.","167 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"201","Unown","Generation II","This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.","Psychic","","Fighting","Psychic","","","","","","","","","","","Bug","Ghost","Dark","","","","","Tackle","Normal","12","Struggle","Normal","15","4.38kg","5.63kg","0.45m","0.57m","1km (Medium)","96 stamina points.","136 attack points.","91 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"202","Wobbuffet","Generation II","If two or more Wobbuffet meet, they will turn competitive and try to outdo each other's endurance. However, they may try to see which one can endure the longest without food. Trainers need to beware of this habit.","Psychic","","Fighting","Psychic","","","","","","","","","","","Bug","Ghost","Dark","","","","","Tackle","Normal","12","Struggle","Normal","15","24.94kg","32.06kg","1.14m","1.46m","1km (Medium)","380 stamina points.","60 attack points.","106 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"203","Girafarig","Generation II","Girafarig's rear head also has a brain, but it is small. The rear head attacks in response to smells and sounds. Approaching this Pokémon from behind can cause the rear head to suddenly lash out and bite.","Normal","Psychic","Psychic","","","","","","","","","","","","Bug","Dark","","","","","","Tackle","Normal","12","Struggle","Normal","15","36.31kg","46.69kg","1.31m","1.69m","1km (Medium)","140 stamina points.","182 attack points.","133 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"204","Pineco","Generation II","Pineco hangs from a tree branch and patiently waits for prey to come along. If the Pokémon is disturbed while eating by someone shaking its tree, it drops down to the ground and explodes with no warning.","Bug","","Grass","Fighting","Ground","","","","","","","","","","Fire","Flying","Rock","","","","","Tackle","Normal","12","Struggle","Normal","15","6.3kg","8.1kg","0.53m","0.69m","1km (Medium)","100 stamina points.","108 attack points.","146 defense points.","5% chance to flee.","","","","","","","","","","","","","205","Forretress","",""
"205","Forretress","Generation II","Forretress conceals itself inside its hardened steel shell. The shell is opened when the Pokémon is catching prey, but it does so at such a quick pace that the shell's inside cannot be seen.","Bug","Steel","Normal","Grass","Ice","Poison","Psychic","Bug","Dragon","Steel","Fairy","","","","Fire","","","","","","","Tackle","Normal","12","Struggle","Normal","15","110.08kg","141.53kg","1.04m","1.34m","1km (Medium)","150 stamina points.","161 attack points.","242 defense points.","5% chance to flee.","","","","","","","","","204","Pineco","","","","","",""
"206","Dunsparce","Generation II","Dunsparce has a drill for its tail. It uses this tail to burrow into the ground backward. This Pokémon is known to make its nest in complex shapes deep under the ground.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Tackle","Normal","12","Struggle","Normal","15","12.25kg","15.75kg","1.31m","1.69m","1km (Medium)","200 stamina points.","131 attack points.","131 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"207","Gligar","Generation II","Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.","Ground","Flying","Fighting","Poison","Ground","Bug","","","","","","","","","Water","Ice","","","","","","Tackle","Normal","12","Struggle","Normal","15","56.7kg","72.9kg","0.95m","1.23m","1km (Medium)","130 stamina points.","143 attack points.","204 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"208","Steelix","Generation II","Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth's core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.","Steel","Ground","Normal","Electric","Poison","Flying","Psychic","Bug","Rock","Dragon","Steel","Fairy","","","Fire","Water","Fighting","Ground","","","","Tackle","Normal","12","Struggle","Normal","15","350kg","450kg","8.04m","10.34m","1km (Medium)","150 stamina points.","148 attack points.","333 defense points.","5% chance to flee.","","","","","","","","","95","Onix","","","","","",""
"209","Snubbull","Generation II","By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee.","Fairy","","Fighting","Bug","Dragon","Dark","","","","","","","","","Poison","Steel","","","","","","Tackle","Normal","12","Struggle","Normal","15","6.83kg","8.78kg","0.53m","0.69m","1km (Medium)","120 stamina points.","137 attack points.","89 defense points.","5% chance to flee.","","","","","","","","","","","","","210","Granbull","",""
"210","Granbull","Generation II","Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy, causing the Pokémon to tip its head back for balance. Unless it is startled, it will not try to bite indiscriminately.","Fairy","","Fighting","Bug","Dragon","Dark","","","","","","","","","Poison","Steel","","","","","","Tackle","Normal","12","Struggle","Normal","15","42.61kg","54.79kg","1.22m","1.57m","1km (Medium)","180 stamina points.","212 attack points.","137 defense points.","5% chance to flee.","","","","","","","","","209","Snubbull","","","","","",""
"211","Qwilfish","Generation II","Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.","Water","Poison","Fire","Water","Ice","Fighting","Poison","Bug","Steel","Fairy","","","","","Electric","Ground","Psychic","","","","","Tackle","Normal","12","Struggle","Normal","15","3.41kg","4.39kg","0.45m","0.57m","1km (Medium)","130 stamina points.","184 attack points.","148 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"212","Scizor","Generation II","Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature.","Bug","Steel","Normal","Grass","Ice","Poison","Psychic","Bug","Dragon","Steel","Fairy","","","","Fire","","","","","","","Tackle","Normal","12","Struggle","Normal","15","109.38kg","140.63kg","1.76m","2.26m","1km (Medium)","140 stamina points.","236 attack points.","191 defense points.","5% chance to flee.","","","","","","","","","123","Scyther","","","","","",""
"213","Shuckle","Generation II","Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.","Bug","Rock","Normal","Poison","","","","","","","","","","","Water","Rock","Steel","","","","","Tackle","Normal","12","Struggle","Normal","15","17.94kg","23.06kg","0.53m","0.69m","1km (Medium)","40 stamina points.","17 attack points.","396 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"214","Heracross","Generation II","Heracross charges in a straight line at its foe, slips beneath the foe's grasp, and then scoops up and hurls the opponent with its mighty horn. This Pokémon even has enough power to topple a massive tree.","Bug","Fighting","Grass","Fighting","Ground","Bug","Dark","","","","","","","","Fire","Flying","Psychic","Fairy","","","","Tackle","Normal","12","Struggle","Normal","15","47.25kg","60.75kg","1.31m","1.69m","1km (Medium)","160 stamina points.","234 attack points.","189 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"215","Sneasel","Generation II","Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away.","Dark","Ice","Ice","Psychic","Ghost","Dark","","","","","","","","","Fire","Fighting","Bug","Rock","Steel","Fairy","","Tackle","Normal","12","Struggle","Normal","15","24.5kg","31.5kg","0.78m","1m","1km (Medium)","110 stamina points.","189 attack points.","157 defense points.","5% chance to flee.","","","","","","","","","","","","","","","",""
"216","Teddiursa","Generation II","This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Tackle","Normal","12","Struggle","Normal","15","7.7kg","9.9kg","0.53m","0.69m","1km (Medium)","120 stamina points.","142 attack points.","93 defense points.","5% chance to flee.","","","","","","","","","","","","","217","Ursaring","",""
"217","Ursaring","Generation II","In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.","Normal","","Ghost","","","","","","","","","","","","Fighting","","","","","","","Tackle","Normal","12","Struggle","Normal","15","110.08kg","141.53kg","1.57m","2.02m","1km (Medium)","180 stamina points.","236 attack points.","144 defense points.","5% chance to flee.","","","","","","","","","216","Teddiursa","","","","","",""
"218","Slugma","Generation II","Molten magma courses throughout Slugma's circulatory system. If this Pokémon is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size.","Fire","","Fire","Grass","Ice","Bug","Steel","Fairy","","","","","","","Water","Ground","Rock","","","","","Tackle","Normal","12","Struggle","Normal","15","30.63kg","39.38kg","0.62m","0.8m","1km (Medium)","80 stamina points.","118 attack points.","71 defense points.","5% chance to flee.","","","","","","","","","","","","","219","Magcargo","",""
"219","Magcargo","Generation II","Magcargo's shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile—just touching it causes it to crumble apart. This Pokémon returns to its original size by dipping itself in magma.","Fire","Rock","Normal","Fire","Ice","Poison","Flying","Bug","Fairy","","","","","","Water","Fighting","Ground","Rock","","","","Tackle","Normal","12","Struggle","Normal","15","48.13kg","61.88kg","0.69m","0.89m","1km (Medium)","100 stamina points.","139 attack points.","209 defense points.","5% chance to flee.","","","","","","","","","218","Slugma","","","","","",""
"220","Swinub","Generation II","Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.","Ice","Ground","Electric","Poison","","","","","","","","","","","Fire","Water","Grass","Fighting","Steel","","","Tackle","Normal","12","Struggle","Normal","15","5.69kg","7.31kg","0.36m","0.46m","1km (Medium)","100 stamina points.","90 attack points.","74 defense points.","5% chance to flee.","","","","","","","","","","","","","221","Piloswine","",""
"221","Piloswine","Generation II","Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.","Ice","Ground","Electric","Poison","","","","","","","","","","","Fire","Water","Grass","Fighting","Steel","","","Tackle","Normal","12","Struggle","Normal","15","48.82kg","62.77kg","0.95m","1.23m","1km (Medium)","200 stamina points.","181 attack points.","147 defense points.","5% chance to flee.","","","","","","","","","220","Swinub","","","","","",""
